,year,subjects,count,total,percentage
747,1849,Hartford Convention,1,51,2.0
748,1849,Health and Illness,4,51,8.0
749,1849,House of Representatives,1,51,2.0
750,1849,Merchants,1,51,2.0
751,1849,Nullification,1,51,2.0
752,1849,Patronage,1,51,2.0
753,1849,Personal Habits,1,51,2.0
754,1849,Political Partisanship,1,51,2.0
755,1849,Political Philosophy,1,51,2.0
756,1849,Popular Will,1,51,2.0
757,1849,President,1,51,2.0
758,1849,Press,2,51,4.0
759,1849,Public Debt,1,51,2.0
760,1849,Public Health,1,51,2.0
761,1849,Public Memory,1,51,2.0
762,1849,Railroads,1,51,2.0
763,1849,Recreation,2,51,4.0
764,1849,Removal of Deposits,1,51,2.0
765,1849,Sectionalism,1,51,2.0
766,1849,Senate,1,51,2.0
767,1849,Supreme Court,1,51,2.0
768,1849,"Travel and Touring, US",3,51,6.0
769,1849,US Constitution,1,51,2.0
770,1849,War of 1812,2,51,4.0
771,1849,Whig Party,1,51,2.0
772,1850,Family Relations (Taney Family),3,6,50.0
773,1850,Supreme Court,2,6,33.0
774,1850,"Travel and Touring, US",1,6,17.0
775,1851,Family Relations (Taney Family),1,7,14.000000000000002
776,1851,Health and Illness,2,7,28.999999999999996
777,1851,Patents,1,7,14.000000000000002
778,1851,Supreme Court,2,7,28.999999999999996
779,1851,"Travel and Touring, US",1,7,14.000000000000002
780,1852,Education,1,3,33.0
781,1852,Health and Illness,1,3,33.0
782,1852,"Travel and Touring, US",1,3,33.0
783,1853,Family Finances (Taney Family),1,4,25.0
784,1853,Family Relations (Taney Family),1,4,25.0
785,1853,Personal Habits,1,4,25.0
786,1853,Recreation,1,4,25.0
787,1854,Circuit Court,1,9,11.0
788,1854,Congress,1,9,11.0
789,1854,Family Relations (Taney Family),1,9,11.0
790,1854,Health and Illness,1,9,11.0
791,1854,Patronage,1,9,11.0
792,1854,Press,1,9,11.0
793,1854,Smithsonian Institution,1,9,11.0
794,1854,Supreme Court,1,9,11.0
795,1854,"Travel and Touring, US",1,9,11.0
796,1855,American Party,1,73,1.0
797,1855,Character,1,73,1.0
798,1855,Circuit Court,3,73,4.0
799,1855,Congress,1,73,1.0
800,1855,"Elections, State and Local",1,73,1.0
801,1855,Family Finances (Taney Family),4,73,5.0
802,1855,Family Relations (Taney Family),14,73,19.0
803,1855,Family Residences (Taney Family),1,73,1.0
804,1855,Health and Illness,12,73,16.0
805,1855,Maryland Judiciary,1,73,1.0
806,1855,Patronage,1,73,1.0
807,1855,Personal Habits,2,73,3.0
808,1855,Postal Service,3,73,4.0
809,1855,Press,2,73,3.0
810,1855,Public Health,6,73,8.0
811,1855,Recreation,9,73,12.0
812,1855,Religion,1,73,1.0
813,1855,Rule of Law,1,73,1.0
814,1855,"South, The",1,73,1.0
815,1855,Supreme Court,2,73,3.0
816,1855,"Travel and Touring, US",6,73,8.0
817,1856,American Party,4,141,3.0
818,1856,Catholicism,1,141,1.0
819,1856,Circuit Court,3,141,2.0
820,1856,Congress,2,141,1.0
821,1856,Education,1,141,1.0
822,1856,"Elections, Presidential",3,141,2.0
823,1856,"Elections, State and Local",2,141,1.0
824,1856,Family Finances (Taney Family),14,141,10.0
825,1856,Family Relations (Taney Family),17,141,12.0
826,1856,Family Residences (Taney Family),10,141,7.000000000000001
827,1856,Federalism,1,141,1.0
828,1856,Health and Illness,21,141,15.0
829,1856,Immigration,1,141,1.0
830,1856,Maryland Judiciary,2,141,1.0
831,1856,Personal Habits,1,141,1.0
832,1856,Postal Service,2,141,1.0
833,1856,Press,5,141,4.0
834,1856,Public Disturbances,1,141,1.0
835,1856,Public Memory,1,141,1.0
836,1856,Recreation,12,141,9.0
837,1856,Religion,3,141,2.0
838,1856,Secession,1,141,1.0
839,1856,Sectionalism,2,141,1.0
840,1856,Slavery and Enslaved Persons,1,141,1.0
841,1856,"South, The",1,141,1.0
842,1856,Statutory Interpretation,1,141,1.0
843,1856,Supreme Court,13,141,9.0
844,1856,"Travel and Touring, US",12,141,9.0
845,1856,US Constitution,1,141,1.0
846,1856,Union,1,141,1.0
847,1856,War of 1812,1,141,1.0
848,1857,Bank War,1,71,1.0
849,1857,Bank of the United States,1,71,1.0
850,1857,Circuit Court,4,71,6.0
851,1857,Currency,3,71,4.0
852,1857,Dred Scott v. Sandford,1,71,1.0
853,1857,Family Finances (Taney Family),12,71,17.0
854,1857,Family Relations (Taney Family),8,71,11.0
855,1857,Family Residences (Taney Family),8,71,11.0
856,1857,Health and Illness,7,71,10.0
857,1857,Press,2,71,3.0
858,1857,Public Health,1,71,1.0
859,1857,Public Memory,1,71,1.0
860,1857,Railroads,1,71,1.0
861,1857,Recreation,4,71,6.0
862,1857,Separation of Powers,1,71,1.0
863,1857,Supreme Court,8,71,11.0
864,1857,"Travel and Touring, US",8,71,11.0
865,1858,Circuit Court,1,38,3.0
866,1858,Currency,1,38,3.0
867,1858,Family Finances (Taney Family),7,38,18.0
868,1858,Family Relations (Taney Family),2,38,5.0
869,1858,Family Residences (Taney Family),2,38,5.0
870,1858,Health and Illness,6,38,16.0
871,1858,Recreation,7,38,18.0
872,1858,Smithsonian Institution,1,38,3.0
873,1858,Supreme Court,4,38,11.0
874,1858,"Travel and Touring, US",7,38,18.0
875,1859,Circuit Court,8,55,15.0
876,1859,Congress,1,55,2.0
877,1859,Currency,1,55,2.0
878,1859,Family Finances (Taney Family),10,55,18.0
879,1859,Family Relations (Taney Family),7,55,13.0
880,1859,Health and Illness,10,55,18.0
881,1859,Press,1,55,2.0
882,1859,Railroads,1,55,2.0
883,1859,Recreation,6,55,11.0
884,1859,Supreme Court,2,55,4.0
885,1859,"Travel and Touring, US",8,55,15.0
886,1860,Alien and Sedition Acts,1,136,1.0
887,1860,"Arts, Visual and Performing",1,136,1.0
888,1860,Bank Veto,2,136,1.0
889,1860,Bank War,4,136,3.0
890,1860,Bank of the United States,5,136,4.0
891,1860,Cabinet,3,136,2.0
892,1860,Catholicism,1,136,1.0
893,1860,Circuit Court,3,136,2.0
894,1860,Congress,3,136,2.0
895,1860,Corruption,1,136,1.0
896,1860,Currency,1,136,1.0
897,1860,Democratic Party,1,136,1.0
898,1860,"Elections, Presidential",2,136,1.0
899,1860,Family Finances (Taney Family),10,136,7.000000000000001
900,1860,Family Relations (Taney Family),16,136,12.0
901,1860,Family Residences (Taney Family),1,136,1.0
902,1860,Financial Panics,1,136,1.0
903,1860,Foreign Relations,1,136,1.0
904,1860,Health and Illness,22,136,16.0
905,1860,Marriage,1,136,1.0
906,1860,Maryland Judiciary,1,136,1.0
907,1860,Maryland Legislature,1,136,1.0
908,1860,Merchants,1,136,1.0
909,1860,Patronage,1,136,1.0
910,1860,Personal Habits,5,136,4.0
911,1860,Political Partisanship,2,136,1.0
912,1860,Postal Service,3,136,2.0
913,1860,Presidency,1,136,1.0
914,1860,President,1,136,1.0
915,1860,Press,5,136,4.0
916,1860,Privacy,2,136,1.0
917,1860,Public Memory,1,136,1.0
918,1860,Railroads,2,136,1.0
919,1860,Recreation,6,136,4.0
920,1860,Religion,1,136,1.0
921,1860,Removal of Deposits,4,136,3.0
922,1860,Senate,1,136,1.0
923,1860,Separation of Powers,2,136,1.0
924,1860,Supreme Court,9,136,7.000000000000001
925,1860,"Travel and Touring, US",4,136,3.0
926,1860,Treaties,1,136,1.0
927,1860,US Constitution,1,136,1.0
928,1860,Veto Power,1,136,1.0
929,1861,Character,1,73,1.0
930,1861,Circuit Court,1,73,1.0
931,1861,Civil War,3,73,4.0
932,1861,Disinterestedness,2,73,3.0
933,1861,Dred Scott v. Sandford,1,73,1.0
934,1861,Family Finances (Taney Family),6,73,8.0
935,1861,Family Relations (Taney Family),14,73,19.0
936,1861,Family Residences (Taney Family),1,73,1.0
937,1861,Habeas Corpus,1,73,1.0
938,1861,Health and Illness,7,73,10.0
939,1861,Judicial Philosophy,2,73,3.0
940,1861,Maryland Judiciary,1,73,1.0
941,1861,Personal Habits,5,73,7.000000000000001
942,1861,Postal Service,2,73,3.0
943,1861,President,1,73,1.0
944,1861,Press,8,73,11.0
945,1861,Recreation,2,73,3.0
946,1861,Religion,1,73,1.0
947,1861,Secession,4,73,5.0
948,1861,Supreme Court,7,73,10.0
949,1861,Tariffs,1,73,1.0
950,1861,"Travel and Touring, US",2,73,3.0
951,1862,Army,1,89,1.0
952,1862,Catholicism,2,89,2.0
953,1862,Circuit Court,2,89,2.0
954,1862,Civil War,3,89,3.0
955,1862,Corruption,1,89,1.0
956,1862,Family Finances (Taney Family),6,89,7.000000000000001
957,1862,Family Relations (Taney Family),19,89,21.0
958,1862,Health and Illness,18,89,20.0
959,1862,Merchants,1,89,1.0
960,1862,Patronage,2,89,2.0
961,1862,Personal Habits,5,89,6.0
962,1862,Postal Service,7,89,8.0
963,1862,Press,1,89,1.0
964,1862,Railroads,2,89,2.0
965,1862,Recreation,2,89,2.0
966,1862,Religion,2,89,2.0
967,1862,Supreme Court,10,89,11.0
968,1862,Tariffs,2,89,2.0
969,1862,"Travel and Touring, US",3,89,3.0
970,1863,Catholicism,1,131,1.0
971,1863,Circuit Court,4,131,3.0
972,1863,Civil War,3,131,2.0
973,1863,Congress,1,131,1.0
974,1863,Constitutional Interpretation,1,131,1.0
975,1863,Corporations,1,131,1.0
976,1863,Currency,3,131,2.0
977,1863,Dred Scott v. Sandford,1,131,1.0
978,1863,Family Finances (Taney Family),10,131,8.0
979,1863,Family Relations (Taney Family),19,131,15.0
980,1863,Family Residences (Taney Family),2,131,2.0
981,1863,Federal Courts,2,131,2.0
982,1863,Habeas Corpus,1,131,1.0
983,1863,Health and Illness,16,131,12.0
984,1863,Patronage,2,131,2.0
985,1863,Personal Habits,18,131,14.000000000000002
986,1863,Popular Will,1,131,1.0
987,1863,Postal Service,12,131,9.0
988,1863,Privacy,1,131,1.0
989,1863,Recreation,4,131,3.0
990,1863,Religion,3,131,2.0
991,1863,Separation of Powers,2,131,2.0
992,1863,Supreme Court,10,131,8.0
993,1863,Taxing Power,1,131,1.0
994,1863,"Travel and Touring, US",10,131,8.0
995,1863,Treasury Department,1,131,1.0
996,1863,US Constitution,1,131,1.0
997,1864,Catholicism,1,58,2.0
998,1864,Circuit Court,2,58,3.0
999,1864,Civil War,2,58,3.0
1000,1864,Congress,1,58,2.0
1001,1864,Constitutional Interpretation,1,58,2.0
1002,1864,Currency,2,58,3.0
1003,1864,Education,2,58,3.0
1004,1864,Family Finances (Taney Family),8,58,14.000000000000002
1005,1864,Family Relations (Taney Family),8,58,14.000000000000002
1006,1864,Health and Illness,8,58,14.000000000000002
1007,1864,Judicial Philosophy,1,58,2.0
1008,1864,Maryland Judiciary,1,58,2.0
1009,1864,Personal Habits,4,58,7.000000000000001
1010,1864,Postal Service,3,58,5.0
1011,1864,President,1,58,2.0
1012,1864,Recreation,1,58,2.0
1013,1864,Religion,1,58,2.0
1014,1864,Separation of Powers,1,58,2.0
1015,1864,Supreme Court,5,58,9.0
1016,1864,"Travel and Touring, US",4,58,7.000000000000001
1017,1864,US Constitution,1,58,2.0
1018,1866,Bank War,1,11,9.0
1019,1866,Bank of the United States,1,11,9.0
1020,1866,"Banks, Pet",1,11,9.0
1021,1866,Dred Scott v. Sandford,1,11,9.0
1022,1866,Family Finances (Taney Family),2,11,18.0
1023,1866,Family Relations (Taney Family),1,11,9.0
1024,1866,Family Residences (Taney Family),2,11,18.0
1025,1866,Secession,1,11,9.0
1026,1866,Supreme Court,1,11,9.0
